  0.129000  0.008274  0.000046 -0.000826  0.127822  0.001141 -0.012745
  0.130000  0.008402  0.000047 -0.000839  0.128801  0.001161 -0.012842
  0.131000  0.008531  0.000048 -0.000852  0.129780  0.001181 -0.012939
  0.132000  0.008661  0.000049 -0.000865  0.130759  0.001202 -0.013036
  0.133000  0.008793  0.000050 -0.000878  0.131737  0.001222 -0.013133
  0.134000  0.008925  0.000052 -0.000891  0.132715  0.001243 -0.013229
  0.135000  0.009058  0.000053 -0.000904  0.133693  0.001265 -0.013326
  0.136000  0.009192  0.000054 -0.000918  0.134671  0.001286 -0.013423
  0.137000  0.009327  0.000056 -0.000931  0.135648  0.001308 -0.013520
  0.138000  0.009464  0.000057 -0.000945  0.136625  0.001329 -0.013617
  0.139000  0.009601  0.000058 -0.000958  0.137602  0.001351 -0.013713
  0.140000  0.009739  0.000060 -0.000972  0.138579  0.001374 -0.013810
  0.141000  0.009878  0.000061 -0.000986  0.139555  0.001396 -0.013906
  0.142000  0.010018  0.000062 -0.001000  0.140532  0.001419 -0.014003
  0.143000  0.010159  0.000064 -0.001014  0.141508  0.001442 -0.014099
  0.144000  0.010301  0.000065 -0.001028  0.142483  0.001465 -0.014196
  0.145000  0.010444  0.000067 -0.001042  0.143459  0.001488 -0.014292
  0.146000  0.010588  0.000068 -0.001057  0.144434  0.001512 -0.014389
  0.147000  0.010733  0.000070 -0.001071  0.145409  0.001536 -0.014485
  0.148000  0.010879  0.000071 -0.001086  0.146384  0.001560 -0.014581
  0.149000  0.011026  0.000073 -0.001100  0.147359  0.001584 -0.014678
  0.150000  0.011173  0.000074 -0.001115  0.148333  0.001608 -0.014774
  0.151000  0.011322  0.000076 -0.001130  0.149307  0.001633 -0.014870
  0.152000  0.011472  0.000078 -0.001145  0.150281  0.001658 -0.014966
  0.153000  0.011623  0.000079 -0.001160  0.151255  0.001683 -0.015062
  0.154000  0.011774  0.000081 -0.001175  0.152228  0.001709 -0.015159
  0.155000  0.011927  0.000083 -0.001190  0.153201  0.001734 -0.015255
  0.156000  0.012081  0.000085 -0.001206  0.154174  0.001760 -0.015351
  0.157000  0.012236  0.000086 -0.001221  0.155147  0.001786 -0.015447
  0.158000  0.012391  0.000088 -0.001236  0.156119  0.001812 -0.015542
  0.159000  0.012548  0.000090 -0.001252  0.157091  0.001839 -0.015638
  0.160000  0.012705  0.000092 -0.001268  0.158063  0.001866 -0.015734
  0.161000  0.012864  0.000094 -0.001283  0.159035  0.001893 -0.015830
  0.162000  0.013023  0.000096 -0.001299  0.160006  0.001920 -0.015926
  0.163000  0.013184  0.000098 -0.001315  0.160977  0.001947 -0.016021
  0.164000  0.013345  0.000100 -0.001331  0.161948  0.001975 -0.016117
  0.165000  0.013508  0.000101 -0.001348  0.162919  0.002003 -0.016213
  0.166000  0.013671  0.000104 -0.001364  0.163889  0.002031 -0.016308
  0.167000  0.013836  0.000106 -0.001380  0.164859  0.002060 -0.016404
  0.168000  0.014001  0.000108 -0.001397  0.165829  0.002088 -0.016499
  0.169000  0.014167  0.000110 -0.001413  0.166799  0.002117 -0.016595
  0.170000  0.014335  0.000112 -0.001430  0.167768  0.002146 -0.016690
  0.171000  0.014503  0.000114 -0.001447  0.168737  0.002176 -0.016785
